id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
"46349e8d-9443-4096-8367-5186c8f128a0","108/2","Behra, Laxman K","2021-04-07T08:49:33Z","2016-12-08T10:50:28Z","2021-04-07T08:49:33Z","2016-12-08T10:50:28Z","2011-03-09",,"Made available in DSpace on 2016-12-08T10:50:28Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 592a4ce5f5a076a58b79b34877cbfa8f (MD5)
budget.pdf: 48704 bytes, checksum: 31fd7d2301aca40637e5e64581159a99 (MD5)
  Previous issue date: 2011-03-09||Made available in DSpace on 2021-04-07T08:49:33Z (GMT). No. of bitstreams: 2
budget.pdf: 48704 bytes, checksum: 31fd7d2301aca40637e5e64581159a99 (MD5)
license.txt: 1831 bytes, checksum: 592a4ce5f5a076a58b79b34877cbfa8f (MD5)
  Previous issue date: 2011-03-09",,,,"http://localhost:8080/xmlui/handle/108/84619","en",,"Institute of Defence Studies and Analysis, New Delhi, India",,"Defence Budget||India||2011-12||Budget Analysis",,,"IDSA Comment on Indian Defence Budget 2011-12",,"Article",
"466dbc8c-cdd0-4217-94b4-f9035e33bf8a","108/2","Task Nad Purpose","2021-04-07T08:50:39Z","2020-10-19T06:04:02Z","2021-04-07T08:50:39Z","2020-10-19T06:04:02Z","2020-10-15",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-10-19T06:04:02Z
No. of bitstreams: 1
IDRW Oct 18.pdf: 223816 bytes, checksum: 96ed9b687d780af2a1f34dc7cbd36777 (MD5)||Made available in DSpace on 2020-10-19T06:04:02Z (GMT). No. of bitstreams: 1
IDRW Oct 18.pdf: 223816 bytes, checksum: 96ed9b687d780af2a1f34dc7cbd36777 (MD5)
  Previous issue date: 2020-10-15||Made available in DSpace on 2021-04-07T08:50:39Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
IDRW Oct 18.pdf: 223816 bytes, checksum: 96ed9b687d780af2a1f34dc7cbd36777 (MD5)
  Previous issue date: 2020-10-15",,,,"http://localhost:8080/xmlui/handle/108/173115",,,,"Source:https://taskandpurpose.com/military-tech/kalashnikov-ak-19-assaultrifle- video",,"AK-47||Kalashnikov",,,"The company behind the AK-47 just unveiled a brand new rifle",,
"477f3766-08bf-470b-866e-b4be9ff03941","108/2","Shukla, Ajai","2021-04-07T08:51:45Z","2016-12-08T10:50:32Z","2021-04-07T08:51:45Z","2016-12-08T10:50:32Z","2011-11-24",,"Made available in DSpace on 2016-12-08T10:50:32Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 7301b4cadb829833ff0f1642c590f62b (MD5)
arjun0.pdf: 135998 bytes, checksum: 08315bd40ea4f512f4d9ace7db8e48c2 (MD5)
  Previous issue date: 2011-11-24||Made available in DSpace on 2021-04-07T08:51:45Z (GMT). No. of bitstreams: 2
arjun0.pdf: 135998 bytes, checksum: 08315bd40ea4f512f4d9ace7db8e48c2 (MD5)
license.txt: 1831 bytes, checksum: 7301b4cadb829833ff0f1642c590f62b (MD5)
  Previous issue date: 2011-11-24",,,,"http://localhost:8080/xmlui/handle/108/84654",,,,,"MBT||Arjun tank",,,"Heavier, more lethal arjun tank poised for trials",,,
"47e07791-f25c-4e72-80bd-84bb61543a5c","108/2","Singh, Sushant","2021-04-07T08:51:15Z","2017-11-23T09:41:46Z","2021-04-07T08:51:15Z","2017-11-23T09:41:46Z","2017-11-20",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-11-23T09:41:46Z
No. of bitstreams: 1
news20nov20170001.pdf: 4288515 bytes, checksum: db99f38aca9bdf55ba7f8b3e2be362bc (MD5)||Made available in DSpace on 2017-11-23T09:41:46Z (GMT). No. of bitstreams: 1
news20nov20170001.pdf: 4288515 bytes, checksum: db99f38aca9bdf55ba7f8b3e2be362bc (MD5)
  Previous issue date: 2017-11-20||Made available in DSpace on 2021-04-07T08:51:15Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news20nov20170001.pdf: 4288515 bytes, checksum: db99f38aca9bdf55ba7f8b3e2be362bc (MD5)
  Previous issue date: 2017-11-20",,,"The Indian Express,20 Nov 2017","http://localhost:8080/xmlui/handle/108/151654",,,,,,"ATGM||SPIKE missile||Anti tank gun missile||DRDO",,,"MoD Scraps $500 - m Israeli missile deal, wants DRDO to make in India",,
"4991c883-b245-4dd8-8bfc-2888b81d40d3","108/2",,"2021-04-07T08:49:41Z","2016-12-08T10:50:27Z","2021-04-07T08:49:41Z","2016-12-08T10:50:27Z","2010-09-03",,"Made available in DSpace on 2016-12-08T10:50:27Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 831a08ac03443878514ee388f4878e57 (MD5)
south.pdf: 17828 bytes, checksum: 8bdda2f041431b1f4b60a5acec36a2c6 (MD5)
  Previous issue date: 2010-09-03||Made available in DSpace on 2021-04-07T08:49:41Z (GMT). No. of bitstreams: 2
south.pdf: 17828 bytes, checksum: 8bdda2f041431b1f4b60a5acec36a2c6 (MD5)
license.txt: 1831 bytes, checksum: 831a08ac03443878514ee388f4878e57 (MD5)
  Previous issue date: 2010-09-03",,,,"http://localhost:8080/xmlui/handle/108/84602","en",,"PIB, New Delhi",,"Defence cooperation||South Korea||India||DRDO",,,"India and South Korea Sign two Landmark MoUs to Boost Defence Cooperation",,"Article",
"4a075ca5-2a9a-43d1-bf6d-567f2d643e49","108/2",,"2021-04-07T08:49:31Z","2016-12-08T10:50:29Z","2021-04-07T08:49:31Z","2016-12-08T10:50:29Z","2011-02-10",,"Made available in DSpace on 2016-12-08T10:50:29Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 6966d3190f7e0f86cefd69e99f89303d (MD5)
DRDOplanstechnoi.pdf: 14603 bytes, checksum: 47b4cecc21d9d2ba90b17a8cb9c7111d (MD5)
  Previous issue date: 2011-02-10||Made available in DSpace on 2021-04-07T08:49:31Z (GMT). No. of bitstreams: 2
DRDOplanstechnoi.pdf: 14603 bytes, checksum: 47b4cecc21d9d2ba90b17a8cb9c7111d (MD5)
license.txt: 1831 bytes, checksum: 6966d3190f7e0f86cefd69e99f89303d (MD5)
  Previous issue date: 2011-02-10",,"The Times of India, 10 February 2011",,"http://localhost:8080/xmlui/handle/108/84625","en",,,,"DRDO||Technology park||IIT||Madras",,,"DRDO plans techno park in Chennai",,"Article",
"4b3fde43-6193-4e6a-ba0d-e466aa2ff237","108/2",,"2021-04-07T08:51:38Z","2017-03-10T05:16:45Z","2021-04-07T08:51:38Z","2017-03-10T05:16:45Z","2017-03-09",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-03-10T05:16:44Z
No. of bitstreams: 1
Press Trust of India9march0001.pdf: 444941 bytes, checksum: 36f0e8159c074e495126943a7cfb467c (MD5)||Made available in DSpace on 2017-03-10T05:16:45Z (GMT). No. of bitstreams: 1
Press Trust of India9march0001.pdf: 444941 bytes, checksum: 36f0e8159c074e495126943a7cfb467c (MD5)
  Previous issue date: 2017-03-09||Made available in DSpace on 2021-04-07T08:51:38Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
Press Trust of India9march0001.pdf: 444941 bytes, checksum: 36f0e8159c074e495126943a7cfb467c (MD5)
  Previous issue date: 2017-03-09",,,"The Press Trust of India","http://localhost:8080/xmlui/handle/108/148940",,,,,,"DRDO||Budget Estimates||DRDO Projects||DRDO Expenditure",,,"Cuts in funds for DRDO forced it to put major projects on",,
"4cc3e6de-3606-455c-bdb4-868947a59cc4","108/2",,"2021-04-07T08:49:52Z","2016-12-08T10:50:25Z","2021-04-07T08:49:52Z","2016-12-08T10:50:25Z","2010-05-26",,"Made available in DSpace on 2016-12-08T10:50:25Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: c44735e408b7165cf66cf72764f3de47 (MD5)
280502arde.pdf: 127364 bytes, checksum: 929a6d9ea52608c3425cee52b9279d7c (MD5)
  Previous issue date: 2010-05-26||Made available in DSpace on 2021-04-07T08:49:52Z (GMT). No. of bitstreams: 2
280502arde.pdf: 127364 bytes, checksum: 929a6d9ea52608c3425cee52b9279d7c (MD5)
license.txt: 1831 bytes, checksum: c44735e408b7165cf66cf72764f3de47 (MD5)
  Previous issue date: 2010-05-26","The Hindu, New Delhi, 26 May 2010",,,"http://localhost:8080/xmlui/handle/108/84584","en",,,,"Defence policy||DRDO",,,"Speed up defence research, deliver on time: Manmohan to scientists",,"Article",
"4ea48a54-d7a2-4adc-bd18-7a5faf9cf2f2","108/2","Pandit, Rajat","2021-04-07T08:50:09Z","2016-12-08T10:50:22Z","2021-04-07T08:50:09Z","2016-12-08T10:50:22Z","2011-03-14",,"Made available in DSpace on 2016-12-08T10:50:22Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: ed269c64f6c46958edf84cc9297d86ce (MD5)
14Mar15.pdf: 104069 bytes, checksum: c2fb80ee20f54938fa36845f010f9318 (MD5)
  Previous issue date: 2011-03-14||Made available in DSpace on 2021-04-07T08:50:09Z (GMT). No. of bitstreams: 2
14Mar15.pdf: 104069 bytes, checksum: c2fb80ee20f54938fa36845f010f9318 (MD5)
license.txt: 1831 bytes, checksum: ed269c64f6c46958edf84cc9297d86ce (MD5)
  Previous issue date: 2011-03-14",,"The Times of India, 14 March 2011",,"http://localhost:8080/xmlui/handle/108/84558","en",,,,"Defence deal||India",,,"India world's No. 1 arms importer",,"Article",
"4eaad215-37e3-45fb-bc29-e73ff3fb5e3e","108/2","Ghosh, Avantika","2021-04-07T08:50:51Z","2018-04-19T08:19:14Z","2021-04-07T08:50:51Z","2018-04-19T08:19:14Z","2018-04-11",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2018-04-19T08:19:14Z
No. of bitstreams: 1
c3cb963f-07fb-4f4e-b4a4-31e08b84ae35.jpg: 446449 bytes, checksum: fc46f86f49d852e554014ebbd3891662 (MD5)||Made available in DSpace on 2018-04-19T08:19:14Z (GMT). No. of bitstreams: 1
c3cb963f-07fb-4f4e-b4a4-31e08b84ae35.jpg: 446449 bytes, checksum: fc46f86f49d852e554014ebbd3891662 (MD5)
  Previous issue date: 2018-04-11||Made available in DSpace on 2021-04-07T08:50:51Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
c3cb963f-07fb-4f4e-b4a4-31e08b84ae35.jpg: 446449 bytes, checksum: fc46f86f49d852e554014ebbd3891662 (MD5)
  Previous issue date: 2018-04-11",,,,"http://localhost:8080/xmlui/handle/108/153366",,,,"The Indian Express",,"Chemical weapon||Nerve cells||nerve gas",,,"How nerve gas and other chemical weapon kill, in Syria or elsewhere",,
"50350c5f-75f8-4aef-9fb2-cbfaaf8a6ced","108/2","Joseph, Josy","2021-04-07T08:50:02Z","2016-12-08T10:50:23Z","2021-04-07T08:50:02Z","2016-12-08T10:50:23Z","2012-09-24",,"Made available in DSpace on 2016-12-08T10:50:23Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 5d5a289f5b39da5db124073d2914c9d3 (MD5)
MoD-Restrict.pdf: 210254 bytes, checksum: 493c31058d7bc1a9c1ea4d0893bbb650 (MD5)
  Previous issue date: 2012-09-24||Made available in DSpace on 2021-04-07T08:50:02Z (GMT). No. of bitstreams: 2
MoD-Restrict.pdf: 210254 bytes, checksum: 493c31058d7bc1a9c1ea4d0893bbb650 (MD5)
license.txt: 1831 bytes, checksum: 5d5a289f5b39da5db124073d2914c9d3 (MD5)
  Previous issue date: 2012-09-24",,,,"http://localhost:8080/xmlui/handle/108/84568","en",,"Times of India 23rd Sep 2012, New Delhi",,"Fiscal powers||Financial Power||SA to RM",,,"MoD restricts DRDO chief's fiscal powers",,"Article",
"5076ddfd-b41f-4b75-85da-6a791fb7852a","108/2","Shukla, Ajay","2021-04-07T08:50:06Z","2016-12-08T10:50:23Z","2021-04-07T08:50:06Z","2016-12-08T10:50:23Z","2015-07",,"Made available in DSpace on 2016-12-08T10:50:23Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: e6197ab43f8c7ec5a2c27b541b596e0a (MD5)
3rd July 2015 drdo chief.pdf: 63528 bytes, checksum: d7de78f616a4d0b11597df6cc0420eed (MD5)
  Previous issue date: 2015-07||Made available in DSpace on 2021-04-07T08:50:06Z (GMT). No. of bitstreams: 2
3rd July 2015 drdo chief.pdf: 63528 bytes, checksum: d7de78f616a4d0b11597df6cc0420eed (MD5)
license.txt: 1831 bytes, checksum: e6197ab43f8c7ec5a2c27b541b596e0a (MD5)
  Previous issue date: 2015-07",,,,"http://localhost:8080/xmlui/handle/108/84563",,,,,"Delivery is the key||IDGMP",,,"We want to standardize our weapon programmes: DRDO Chief Dr Christopher",,,
"50a198eb-fd26-409d-b4ed-64bf87d6d4c7","108/2",,"2021-04-07T08:49:56Z","2016-12-08T10:50:24Z","2021-04-07T08:49:56Z","2016-12-08T10:50:24Z","2010-07-08",,"Made available in DSpace on 2016-12-08T10:50:24Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 09b05c0ec6ae41b7c881464bd9e73ba0 (MD5)
TOI8July2010.pdf: 98475 bytes, checksum: 6feb9901d9c204760a8fdd017191b3da (MD5)
  Previous issue date: 2010-07-08||Made available in DSpace on 2021-04-07T08:49:56Z (GMT). No. of bitstreams: 2
TOI8July2010.pdf: 98475 bytes, checksum: 6feb9901d9c204760a8fdd017191b3da (MD5)
license.txt: 1831 bytes, checksum: 09b05c0ec6ae41b7c881464bd9e73ba0 (MD5)
  Previous issue date: 2010-07-08","The Times of India, Pune, 08 July 2010",,,"http://localhost:8080/xmlui/handle/108/84577","en",,,,"Ceramic||Body Armour||Material||Glass||Anil M Datar",,,"Research on lightweight body armour needed",,"Article",
"50f19af5-08fc-4c42-98b0-3f50a6f7e460","108/2","Task and Purpose","2021-04-07T08:50:18Z","2020-10-19T06:08:06Z","2021-04-07T08:50:18Z","2020-10-19T06:08:06Z","2020-10-15",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-10-19T06:08:06Z
No. of bitstreams: 1
The Army.pdf: 229612 bytes, checksum: 6d6d2eab2cebff59473e24ef273cf9da (MD5)||Made available in DSpace on 2020-10-19T06:08:06Z (GMT). No. of bitstreams: 1
The Army.pdf: 229612 bytes, checksum: 6d6d2eab2cebff59473e24ef273cf9da (MD5)
  Previous issue date: 2020-10-15||Made available in DSpace on 2021-04-07T08:50:18Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
The Army.pdf: 229612 bytes, checksum: 6d6d2eab2cebff59473e24ef273cf9da (MD5)
  Previous issue date: 2020-10-15",,,,"http://localhost:8080/xmlui/handle/108/173116",,,,"Source : https://taskandpurpose.com/military-tech/army-barrett-mrad-advanced-sniper-rifle-rfi",,"Multi-Role Adaptive Rifle (MRAD)||MRAD||Manager Soldier Lethality",,,"The Army is officially doubling down on a brand new sniper rifle",,
"519147b0-94de-4a8d-a440-122e57d3f521","108/2","Pandit, Rajat","2021-04-07T08:50:01Z","2016-12-08T10:50:23Z","2021-04-07T08:50:01Z","2016-12-08T10:50:23Z","2010-08-03",,"Made available in DSpace on 2016-12-08T10:50:23Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: f1520cb95abc7af72f40b0c2aec04a8e (MD5)
155mm.pdf: 43175 bytes, checksum: 6bc79471bb8aa5ec0b43da7b300de576 (MD5)
  Previous issue date: 2010-08-03||Made available in DSpace on 2021-04-07T08:50:01Z (GMT). No. of bitstreams: 2
155mm.pdf: 43175 bytes, checksum: 6bc79471bb8aa5ec0b43da7b300de576 (MD5)
license.txt: 1831 bytes, checksum: f1520cb95abc7af72f40b0c2aec04a8e (MD5)
  Previous issue date: 2010-08-03","The Times of India, New Delhi, 03 August 2010",,,"http://localhost:8080/xmlui/handle/108/84570","en",,,,"DEW||Laser Weapon",,,"DRD0's next: Star Wars-like weapons",,"Article",
"535a24f1-5767-4b45-9102-440395950173","108/2","Singh, Sushant","2021-04-07T08:51:28Z","2017-05-18T11:22:23Z","2021-04-07T08:51:28Z","2017-05-18T11:22:23Z","2017-05-18",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-05-18T11:22:23Z
No. of bitstreams: 1
news NPC - 18 May, 2017.pdf: 84020 bytes, checksum: 3f37a44ff80bc478f4b766e9e9482181 (MD5)||Made available in DSpace on 2017-05-18T11:22:23Z (GMT). No. of bitstreams: 1
news NPC - 18 May, 2017.pdf: 84020 bytes, checksum: 3f37a44ff80bc478f4b766e9e9482181 (MD5)
  Previous issue date: 2017-05-18||Made available in DSpace on 2021-04-07T08:51:28Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news NPC - 18 May, 2017.pdf: 84020 bytes, checksum: 3f37a44ff80bc478f4b766e9e9482181 (MD5)
  Previous issue date: 2017-05-18",,,"The Indian Express, 18 May 2017","http://localhost:8080/xmlui/handle/108/149544",,,,,,"Ultra light howitzer||M777||ULH||BAE System||Bofors Gun",,,"Army gets its first artillery guns three decades after Bofors, will be tested at Pokhran today",,
"548730e8-9843-4ddf-a04a-32cc173ee56f","108/2","Shukla, Ajai","2021-04-07T08:50:16Z","2016-12-08T10:50:21Z","2021-04-07T08:50:16Z","2016-12-08T10:50:21Z","2010-06-16",,"Made available in DSpace on 2016-12-08T10:50:21Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 8a579c17cd3ef113e675791827fed68b (MD5)
bs16JuneAjai.pdf: 99567 bytes, checksum: c1398d22ed4fe4d23d961bb09ff3693c (MD5)
  Previous issue date: 2010-06-16||Made available in DSpace on 2021-04-07T08:50:16Z (GMT). No. of bitstreams: 2
bs16JuneAjai.pdf: 99567 bytes, checksum: c1398d22ed4fe4d23d961bb09ff3693c (MD5)
license.txt: 1831 bytes, checksum: 8a579c17cd3ef113e675791827fed68b (MD5)
  Previous issue date: 2010-06-16","Business Standard, New Delhi, 16 June 2010",,,"http://localhost:8080/xmlui/handle/108/84550","en",,,,"Defence Policy||India",,,"Arms spending: India grows as west shrinks",,"Article",
"56980576-5fde-494b-8381-dc20f89b8b2f","108/2","Dutta, Ananya","2021-04-07T08:49:46Z","2016-12-08T10:50:26Z","2021-04-07T08:49:46Z","2016-12-08T10:50:26Z","2010-09-13",,"Made available in DSpace on 2016-12-08T10:50:26Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 487eb146fd8384fcdf9dcdb33813be41 (MD5)
agni-v.pdf: 12277 bytes, checksum: 7197e02c703bba74d7a2d97535c3f748 (MD5)
  Previous issue date: 2010-09-13||Made available in DSpace on 2021-04-07T08:49:46Z (GMT). No. of bitstreams: 2
agni-v.pdf: 12277 bytes, checksum: 7197e02c703bba74d7a2d97535c3f748 (MD5)
license.txt: 1831 bytes, checksum: 487eb146fd8384fcdf9dcdb33813be41 (MD5)
  Previous issue date: 2010-09-13","The Hindu, Chennai, 13 September 2010",,,"http://localhost:8080/xmlui/handle/108/84594","en",,,,"DRDO||Agni-V||Missile programme",,,"Saraswat: Agni-V will be test-fired in 2011",,"Article",
"5779473f-e0a3-460c-94c7-ebfcea9f9453","108/2","Chauhan, Neeraj","2021-04-07T08:51:22Z","2017-06-12T05:31:25Z","2021-04-07T08:51:22Z","2017-06-12T05:31:25Z","2017-06-12",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-06-12T05:31:25Z
No. of bitstreams: 1
news2_12june20170001.pdf: 291540 bytes, checksum: ecdb7767b9762b9280f69ace7d03ed91 (MD5)||Made available in DSpace on 2017-06-12T05:31:25Z (GMT). No. of bitstreams: 1
news2_12june20170001.pdf: 291540 bytes, checksum: ecdb7767b9762b9280f69ace7d03ed91 (MD5)
  Previous issue date: 2017-06-12||Made available in DSpace on 2021-04-07T08:51:22Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news2_12june20170001.pdf: 291540 bytes, checksum: ecdb7767b9762b9280f69ace7d03ed91 (MD5)
  Previous issue date: 2017-06-12",,,"The Times of India, 09 June 2017","http://localhost:8080/xmlui/handle/108/149723",,,,,,"Weapon Tracking System||RFID Application||GPS Tracker||GPS Technology",,,"CRPFexploring tech to track looted weapons",,
"57d45408-097e-43d6-95f8-f2f7280a93a0","108/2","IDRW NEWS NETWORK","2021-04-07T08:49:39Z","2020-10-15T08:30:31Z","2021-04-07T08:49:39Z","2020-10-15T08:30:31Z","2020-10-09",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-10-15T08:30:31Z
No. of bitstreams: 1
09.10.2020.pdf: 225548 bytes, checksum: 387ca3d6293ed7765e554f1d7ed4d9b1 (MD5)||Made available in DSpace on 2020-10-15T08:30:31Z (GMT). No. of bitstreams: 1
09.10.2020.pdf: 225548 bytes, checksum: 387ca3d6293ed7765e554f1d7ed4d9b1 (MD5)
  Previous issue date: 2020-10-09||Made available in DSpace on 2021-04-07T08:49:39Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
09.10.2020.pdf: 225548 bytes, checksum: 387ca3d6293ed7765e554f1d7ed4d9b1 (MD5)
  Previous issue date: 2020-10-09",,,,"http://localhost:8080/xmlui/handle/108/173104",,"en_US",,"https://idrw.org/iaf-planning-to-procure-more-erj-145-based-netra-aewcs/#more-237286",,"ERJ-145 based Netra AEW&CS||Netra||AEW&CS||ERJ-145",,,"IAF planning to procure more ERJ-145 based Netra AEW&CS",,
"598bee17-8785-4376-b7f9-358a48b79adb","108/2","Shukla, Ajai","2021-04-07T08:51:50Z","2016-12-08T10:50:31Z","2021-04-07T08:51:50Z","2016-12-08T10:50:31Z","2015-01-04",,"Made available in DSpace on 2016-12-08T10:50:31Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 03217795894de765f6e8546f5a95ee95 (MD5)
private defence industry.pdf: 39483 bytes, checksum: 30b102187eff66a0fc0b9994cd6d7eb9 (MD5)
  Previous issue date: 2015-01-04||Made available in DSpace on 2021-04-07T08:51:50Z (GMT). No. of bitstreams: 2
private defence industry.pdf: 39483 bytes, checksum: 30b102187eff66a0fc0b9994cd6d7eb9 (MD5)
license.txt: 1831 bytes, checksum: 03217795894de765f6e8546f5a95ee95 (MD5)
  Previous issue date: 2015-01-04",,"Shukla Ajai (jan 2015)Parrikar engages private defence industry to boost indigenous arms",,"http://localhost:8080/xmlui/handle/108/84649","en",,"Indian express",,"make category||Defence production||MSME||Defence Industry||Private defence industry",,,"Parrikar engages private defence industry to boost indigenous arms",,"Article",
"5ce72cb7-246a-4ec6-8e4c-eea8c9fe98ac","108/2","Amazon Agencies","2021-04-07T08:50:42Z","2018-09-20T09:04:16Z","2021-04-07T08:50:42Z","2018-09-20T09:04:16Z","2018-09-17",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2018-09-20T09:04:16Z
No. of bitstreams: 1
Digital.pdf: 406940 bytes, checksum: 01cd97a74b828985989647aab7d1c0ae (MD5)||Made available in DSpace on 2018-09-20T09:04:16Z (GMT). No. of bitstreams: 1
Digital.pdf: 406940 bytes, checksum: 01cd97a74b828985989647aab7d1c0ae (MD5)
  Previous issue date: 2018-09-17||Made available in DSpace on 2021-04-07T08:50:42Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
Digital.pdf: 406940 bytes, checksum: 01cd97a74b828985989647aab7d1c0ae (MD5)
  Previous issue date: 2018-09-17",,,,"http://localhost:8080/xmlui/handle/108/154305",,"en_US",,"The Indian Express",,"Digital Assistance||News Plateform",,,"Digital assistants hone skills to deliver the news",,"Article"
"5f224805-afe9-43f2-9234-8ba8f35fa8a9","108/2","Shukla, Ajai","2021-04-07T08:49:24Z","2016-12-08T10:50:31Z","2021-04-07T08:49:24Z","2016-12-08T10:50:31Z","2011-02-22",,"Made available in DSpace on 2016-12-08T10:50:31Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 1d1868bda8255891efd8561169c88f53 (MD5)
tejas.pdf: 191891 bytes, checksum: 9e4eb8757286608ee13cabf545c163f9 (MD5)
  Previous issue date: 2011-02-22||Made available in DSpace on 2021-04-07T08:49:24Z (GMT). No. of bitstreams: 2
tejas.pdf: 191891 bytes, checksum: 9e4eb8757286608ee13cabf545c163f9 (MD5)
license.txt: 1831 bytes, checksum: 1d1868bda8255891efd8561169c88f53 (MD5)
  Previous issue date: 2011-02-22",,"Business Standard, New Delhi, 22 February 2011",,"http://localhost:8080/xmlui/handle/108/84645","en",,"Business Standard",,"LCA||ADA||DRDO||Tejas||Development cost",,,"When a Sword Arm is Worth It",,"Article",
"607edace-8a43-402f-b4a9-d3186faa610d","108/2","Shukla, Ajai","2021-04-07T08:51:47Z","2016-12-08T10:50:32Z","2021-04-07T08:51:47Z","2016-12-08T10:50:32Z","2011-11-24",,"Made available in DSpace on 2016-12-08T10:50:32Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: cf680ba84939e0331399aeb3f61e9d75 (MD5)
arjun2.pdf: 27967 bytes, checksum: 0d80c0616b60ddf2c0e086d5d5ef39fc (MD5)
  Previous issue date: 2011-11-24||Made available in DSpace on 2021-04-07T08:51:47Z (GMT). No. of bitstreams: 2
arjun2.pdf: 27967 bytes, checksum: 0d80c0616b60ddf2c0e086d5d5ef39fc (MD5)
license.txt: 1831 bytes, checksum: cf680ba84939e0331399aeb3f61e9d75 (MD5)
  Previous issue date: 2011-11-24",,,,"http://localhost:8080/xmlui/handle/108/84652",,,,,"MBT||Arjun tank",,,"Improving the Arjun's already great suspension",,,
"60b484b2-c228-4c0e-a036-6555d1c5017b","108/2","Singh, Dipti","2021-04-07T08:49:24Z","2016-12-08T10:50:31Z","2021-04-07T08:49:24Z","2016-12-08T10:50:31Z","2015-01-05",,"Made available in DSpace on 2016-12-08T10:50:31Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: a4ba27817d6cbf1ae17eb2b6be278fe1 (MD5)
DRDOISRO.pdf: 42260 bytes, checksum: 0e0184bdb11651c83bb732f94485cc9b (MD5)
  Previous issue date: 2015-01-05||Made available in DSpace on 2021-04-07T08:49:24Z (GMT). No. of bitstreams: 2
DRDOISRO.pdf: 42260 bytes, checksum: 0e0184bdb11651c83bb732f94485cc9b (MD5)
license.txt: 1831 bytes, checksum: a4ba27817d6cbf1ae17eb2b6be278fe1 (MD5)
  Previous issue date: 2015-01-05",,"Singh Dipti (2015) Day 1: ISRO, DRDO stalls draw most crowd",,"http://localhost:8080/xmlui/handle/108/84646",,,"Indian express",,"Indian science congress||DRDO||Defence Exhibition",,,"Day 1: ISRO, DRDO stalls draw most crowd",,"Article",
